homeTeam,awayTeam,league,drawOdds,awayOdds,homeOdds,Time,Date
Paris Saint-Germain,Arsenal FC,Football / International / UEFA Champions League,3.45,3.18,3.32,7:00 pm,Sat 30/05
Mexico,South Africa,Football / International / FIFA World Cup,4.35,6.38,1.53,10:00 pm,Thu 11/06
Korea Republic,Czechia,Football / International / FIFA World Cup,3.22,2.74,2.75,5:00 am,Fri 12/06
Canada,Bosnia and Herzegovina,Football / International / FIFA World Cup,3.75,4.34,1.84,10:00 pm,Fri 12/06
USA,Paraguay,Football / International / FIFA World Cup,3.55,3.65,2.06,4:00 am,Sat 13/06
Qatar,Switzerland,Football / International / FIFA World Cup,5.83,8.04,10.24,10:00 pm,Sat 13/06
Brazil,Morocco,Football / International / FIFA World Cup,4.1,5.53,1.62,1:00 am,Sun 14/06
Haiti,Scotland,Football / International / FIFA World Cup,4.83,1.44,7.2,4:00 am,Sun 14/06
Australia,Turkiye,Football / International / FIFA World Cup,3.69,1.86,4.34,7:00 am,Sun 14/06
Germany,Curacao,Football / International / FIFA World Cup,21.44,50.56,36.0,8:00 pm,Sun 14/06
Netherlands,Japan,Football / International / FIFA World Cup,3.65,3.56,2.06,11:00 pm,Sun 14/06
Ivory Coast,Ecuador,Football / International / FIFA World Cup,3.12,2.41,3.28,2:00 am,Mon 15/06
Sweden,Tunisia,Football / International / FIFA World Cup,3.4,4.08,2.0,5:00 am,Mon 15/06
Spain,Cape Verde,Football / International / FIFA World Cup,11.23,29.56,20.4,7:00 pm,Mon 15/06
Belgium,Egypt,Football / International / FIFA World Cup,4.08,5.12,1.67,10:00 pm,Mon 15/06
Saudi Arabia,Uruguay,Football / International / FIFA World Cup,4.39,1.52,6.52,1:00 am,Tue 16/06
IR Iran,New Zealand,Football / International / FIFA World Cup,3.62,4.44,1.86,4:00 am,Tue 16/06
France,Senegal,Football / International / FIFA World Cup,4.62,6.96,5.79,10:00 pm,Tue 16/06
Iraq,Norway,Football / International / FIFA World Cup,6.29,1.26,11.45,1:00 am,Wed 17/06
Argentina,Algeria,Football / International / FIFA World Cup,4.71,7.96,6.34,4:00 am,Wed 17/06
Austria,Jordan,Football / International / FIFA World Cup,5.33,8.2,1.37,7:00 am,Wed 17/06
Portugal,Congo DR,Football / International / FIFA World Cup,5.76,9.9,1.31,8:00 pm,Wed 17/06
England,Croatia,Football / International / FIFA World Cup,3.95,4.94,1.71,11:00 pm,Wed 17/06
Ghana,Panama,Football / International / FIFA World Cup,3.59,3.81,2.0,2:00 am,Thu 18/06
Uzbekistan,Colombia,Football / International / FIFA World Cup,4.79,1.43,7.55,5:00 am,Thu 18/06
